"incident_id","ward_name","x","y","date","description"
"INC_0001","Riverstead",454223.497026108,343867.63980077,"2025-09-21","Report noted repeated damage to bins and surrounding fixtures. Nearby property affected."
"INC_0002","Riverstead",455220.399012973,342344.205784463,"2025-09-25","Damage reported to fencing and nearby street furniture. Nearby property affected."
"INC_0003","Riverstead",454525.852480536,343659.045522871,"2025-05-05","Damage reported to fencing and nearby street furniture. Possible overnight timing."
"INC_0004","Riverstead",454918.971061135,343857.110646268,"2025-02-12","Graffiti and minor vandalism observed on public-facing property."
"INC_0005","Riverstead",455045.364891012,343545.499771744,"2025-07-20","Graffiti and minor vandalism observed on public-facing property."
"INC_0006","Riverstead",454102.632228953,343375.575798612,"2025-07-04","Broken glass and signs of overnight damage were recorded. Nearby property affected."
"INC_0007","Riverstead",454903.917702154,343139.295813431,"2025-04-06","Repeated late-night noise reported near flats."
"INC_0008","Riverstead",455853.449147182,343745.782950024,"2025-12-01","Street-safety report logged after repeated uneasy encounters. Pedestrian route referenced."
"INC_0009","Riverstead",454869.892186269,343420.62569295,"2025-09-30","Residents described persistent disturbance from street gatherings."
"INC_0010","Riverstead",454318.046531816,343134.814166126,"2025-06-18","Damage reported to fencing and nearby street furniture. Nearby property affected."
"INC_0011","Riverstead",455904.588544967,343897.317601087,"2025-08-14","Witness noted a threatening exchange requiring follow-up attention."
"INC_0012","Riverstead",454998.464466969,344065.004775198,"2025-10-30","Damage reported to fencing and nearby street furniture."
"INC_0013","Riverstead",455884.590565276,343957.559072362,"2025-12-15","Report noted repeated damage to bins and surrounding fixtures."
"INC_0014","Riverstead",454210.724907727,343041.661603248,"2025-05-11","Graffiti and minor vandalism observed on public-facing property."
"INC_0015","Riverstead",455833.487205798,343977.246093587,"2025-03-07","Caller described a confrontation with risk of personal harm. Several witnesses were nearby."
"INC_0016","Riverstead",455286.074775105,343482.660959419,"2025-08-21","Report noted repeated damage to bins and surrounding fixtures."
"INC_0017","Riverstead",455735.112771051,343980.454207345,"2025-09-29","Caller described a confrontation with risk of personal harm. Further context remained limited."
"INC_0018","Riverstead",455775.904694785,343765.17679396,"2025-11-18","Broken glass and signs of overnight damage were recorded. Issue appears recurring."
"INC_0019","Riverstead",456055.429267129,343568.565608757,"2025-10-15","Report noted repeated damage to bins and surrounding fixtures. Public area involvement noted."
