"ward_id","ward_name","unemployment_rate","deprivation_score","rental_share","population_density","transport_access","lighting_coverage","distance_police_hub","listed_building_share"
"W01","Northgate",8.8,43.45,"38.3%",2400,25.1,72.5,3,8.7
"W02","Riverstead",14.6,81.39,"67.5",6057,48.6,70.6,3,24.3
"W03","Ashfield",4.3,20.96,"17.9",2593,26.1,95.1,1,15.4
"W04","Old Quay",6.9,34.57,"28.3%",2893,29.1,93.4,1,12.6
"W05","Moor Park",10.1,50.36,"45.2",6800,54.8,70.4,3,17.9
"W06","Lantern Hill",11.9,63.9,"53.1%",8269,59.5,61.8,5,NA
"W07","Westbrook",5,26.39,"27.4",1937,22.6,72,4,10
"W08","Market-End",15.4,82.51,"65.9%",3607,31.6,56.5,5,4.5
"W09","Cedar Rise",14.3,75.01,"60.8%",3806,33.1,57.6,5,21.5
"W10","Kingsmead",8.8,45.29,"31.8",12891,NA,81.1,2,5.1
"W11","Hazel Row",8.3,48.99,"33.4",12968,88.9,69.8,5,7.3
"W12","South-Dene",4.5,24.53,"24",9293,NA,87.9,2,22.2
"W13","East Hollow",11.8,53.61,"43.6",12558,86,67.1,3,17
"W14","Bracken Vale",3.3,16.05,"16.4",10334,72.8,97.1,0,4.7
"W15","Stonebridge",4,21.29,"20.9",12666,86.9,88.2,2,4.8
"W16","Foxley",14,78.22,"61.1",11337,77.7,62.8,5,3.1
"W17","Maple Cross",15.8,83.48,"69.2",10565,75.5,58.1,5,22.3
"W18","High-Orchard",10,56.35,"46.4",7731,56.8,77.9,2,3.2
"W19","Canal Side",3.6,23.16,"20.7",11202,77.8,96.4,1,15.8
"W20","Priory Green",11.4,66.88,"55",4682,40.1,77.3,3,26.4
"W21","Briar Fold",8,43.39,"44.5",4184,36.5,94.9,1,20
"W22","Willow Bank",11.3,53.8,"57.4",10878,75.7,74,4,8.3
"W23","Elm Terrace",5.2,24.2,"21.8",8648,62.4,0.9,1,24
"W24","Harbour View",14.9,73.97,"64.9",2132,23.6,0.66,4,14
"W25","Saffron Lea",12.1,61.13,"53.1%",12975,88.8,65.4,4,27.3
"W26","Mill Court",12.1,62.25,"49.8",11511,80.1,60.9,5,9.1
"W27","Springmere",10.2,45.63,"35.9",5295,42.5,80,3,NA
"W28","Falcon Heath",12.9,66.36,"57.1",6904,54.2,74.5,4,6.5
"W29","Meadow Gate",5.5,29.88,"25",12186,NA,76.1,3,9.6
"W30","Ridge Market",6.3,34.8,"29.6",11746,81.6,92.5,1,NA
"W31","New-Dock",6.3,33.47,"32.4",2223,24.6,87.3,1,26.5
"W32","Beacon Park",13,68.38,"55.6",8918,65.4,60.4,5,3.7
